File,Theil-Sen Slope,Theil-Sen Intercept
en_book3.txt.tokens,-0.008206586893720273,1.3587594136981598
en_macbeth.txt.tokens,-0.02734004345001515,1.4008432628636416
en_quixote.txt.tokens,-0.012856427968444245,0.8877091308084236
es_book1.txt.tokens,-0.017869958315525368,0.9172775187906304
es_book2.txt.tokens,-0.02926740173409631,1.294798881000754
fi_book1.txt.tokens,nan,nan
fi_book2.txt.tokens,-0.05391795610516683,1.5704142312114846
ru_book1.txt.tokens,nan,nan
ru_book2.txt.tokens,-0.007256674869770672,1.7720070417608982
ru_book3.txt.tokens,-0.012279154763944065,1.8046759407944897
ru_book4.txt.tokens,-0.023659394740511784,1.097122227392771
ru_book5.txt.tokens,-0.012279154763944065,1.8046759407944897
zh_book1.txt.tokens,-0.004676436420060508,1.3908153570570272
zh_book2.txt.tokens,-0.003985562256569704,1.5304436427094195
